text,label,document_type,domain,source_document,source_section,quality,comment,candidate_id,project_id,original_role_gold,original_sub_role_gold,context_before,context_after,review_priority,label_before_correction,correction_reason
"Elles se concentrent généralement sur un seul réseau social, ce qui limite leur portée et leur capacité à collecter l'ensemble du paysage numérique pertinent.",vrai_verrou_rd,raw,to_detect_by_nlp,ABINNOV_DT-2023_ BATREND_V1.2_AD.docx,limite_incertitude,good,from role_gold=limite | sub_role=incertitude_ou_validation_insuffisante | status=auto_corrected,0fb9dfa44bd8c761,projet_10_,limite,incertitude_ou_validation_insuffisante,"Dans la littérature, bien que quelques études abordent la mise en œuvre des solutions d'écoute sociale, il est souvent constaté que ces solutions ne parviennent pas à fournir une surveillance en temps réel à grande échelle sur l'ensemble des interactions des réseaux sociaux et du Web.",,LOW,vrai_verrou_rd,
"Dans le contexte de la mise en œuvre d’une nouvelle solution d’écoute sociale, nous avons identifié trois verrous majeurs : La complexité de surveiller en temps réel sur plusieurs millions de sources incluant les réseaux sociaux et le Web ; La complexité liée à l’analyse des réactions et des opinions des gens dans un domaine spécifique (pour notre cas, il s’agit du domaine de la politique) ; La détermination en temps réel des influenceurs des opinions partagés sur le Web et les réseaux sociaux.",vrai_verrou_rd,raw,to_detect_by_nlp,ABINNOV_DT-2023_ BATREND_VF_AD.docx,verrou_technique,good,from role_gold=verrou | sub_role=complexite_ou_manque_maitrise | status=auto_corrected,8e308cbcbbe6b306,projet_10_,verrou,complexite_ou_manque_maitrise,,,LOW,vrai_verrou_rd,
Cette absence de consensus scientifique rend donc incertaine notre capacité à retranscrire la réalité scientifique de ce terme marketing.,vrai_verrou_rd,raw,to_detect_by_nlp,BR _dossier 2024_2025-09-11.docx,limite_incertitude,good,from role_gold=limite | sub_role=incertitude_ou_validation_insuffisante | status=auto_corrected,45175af357108a1c,projet_1_,limite,incertitude_ou_validation_insuffisante,"De plus, il n’est pas précisé le niveau de lien entre tous ces termes.","Par conséquent, il est complexe d’identifier un outil de mesure précis et reproductible pour quantifier l’évolution du « glow » de la peau, avant et après application des différents candidats développés.",LOW,vrai_verrou_rd,
"Par ailleurs, il est complexe de stabiliser l’activité enzymatique, ce qui entraîne des difficultés de reproductibilité de l’effet enzymatique.",vrai_verrou_rd,raw,to_detect_by_nlp,BR _dossier 2024_2025-09-11.docx,,good,from role_gold=verrou | sub_role= | status=to_review,b909a6680ac15785,projet_1_,verrou,,"De plus, si les enzymes de la famille des SOD (Superoxyde dismutases) se retrouvent en quantité limitante, il n’y a pas prise en charge de l’un des ERO les plus réactifs, qui va donc s’accumuler et provoquer un stress oxydatif.","Par conséquent, cette voie des générateurs d’oxygène endogène n’était pas non plus concluante.",HIGH,vrai_verrou_rd,
"Par conséquent, il est complexe d’identifier un outil de mesure précis et reproductible pour quantifier l’évolution du « glow » de la peau, avant et après application des différents candidats développés.",vrai_verrou_rd,raw,to_detect_by_nlp,BR _dossier 2024_2025-09-11.docx,,good,from role_gold=verrou | sub_role= | status=to_review,beb66e71cfbc0356,projet_1_,verrou,,Cette absence de consensus scientifique rend donc incertaine notre capacité à retranscrire la réalité scientifique de ce terme marketing.,"En outre, dans la littérature, il n’a jamais été prouvé la capacité de la mélatonine à stimuler la respiration mitochondriale des kératinocytes à la faible concentration que nous utilisons (0.0015%), concentration liée à des contraintes règlementaires.",HIGH,vrai_verrou_rd,
"An extensive selectivity profile generated by somewhat limited to P2X and P2X receptor involvement in 3 2/3 Cerep (Paris, France) also showed little or no inhibition of afferent mechanisms within peripheral target tissues.",vrai_verrou_rd,raw,to_detect_by_nlp,British J Pharmacology - 2009 - Ford - Purinoceptors as therapeutic targets for lower urinary tract dysfunction.pdf,,good,from role_gold=verrou | sub_role= | status=to_review,e3e3d581e1839494,projet_3_,verrou,,"To date, focus has been was observed.","However, radioligand binding, or function, at 74 receptors, transporters, recent reports (Masuda et al., 2005; Salas et al., 2005) suggest and enzymes by 10mM RO-3; the only exception being that attention has turned to the role of ATP and P2X , P2X 3 2/3 the melatonin (ML1) receptor with a pIC ¼6.4.",HIGH,vrai_verrou_rd,
"Ford et al Purinoceptors as therapeutic targets use of this antagonist to study lower urinary tract function calcium flux, without interfering with a secondary calcium have been limited; however, one report suggested an inhibition flux produced by the calcium ionophore, ionomycin (see of non-micturition bladder contractions and an increase in b).",vrai_verrou_rd,raw,to_detect_by_nlp,British J Pharmacology - 2009 - Ford - Purinoceptors as therapeutic targets for lower urinary tract dysfunction.pdf,,good,from role_gold=verrou | sub_role= | status=to_review,4b1bae634cac2162,projet_3_,verrou,,S138 A.P.D.W.,"In contrast to the P2X and P2X HTS screening 1 3 bladder capacity in a rat spinal cord injury model (Lu et al., campaigns, the HTS screen targeting P2X resulted in no 2 2002).",HIGH,vrai_verrou_rd,
"The prevalence of LUTS improvement for patients with LUTS, the improvement is is extremely high; it is estimated that in the seven major often modest, and the benefits appear to be especially limited pharmaceutical markets (U.S.A., Japan, U.K., France, Ger- with respect to sensory symptoms such as urgency, nocturia, many, Italy, and Spain), in excess of 100 million men and discomfort, and pain.",vrai_verrou_rd,raw,to_detect_by_nlp,British J Pharmacology - 2009 - Ford - Purinoceptors as therapeutic targets for lower urinary tract dysfunction.pdf,,good,from role_gold=verrou | sub_role= | status=to_review,66e4d229a46031bc,projet_3_,verrou,,"Although these treatments offer some Kream & Carr, 1999; Nickel, 2003).","Accordingly, a recent review of 32 women are afflicted with the bothersome LUTS of OAB and randomized, placebo-controlled trials of muscarinic antago- BPH (Caddle et al., 2003; Fernandes & Cocoros, 2005).",HIGH,vrai_verrou_rd,
"The scope especially impressive and continuing use seems most likely of purinergic signaling within the lower urinary tract is vast, limited to men presenting with urinary obstruction. and involves multiple receptors for ATP including the P2Y Given the limitations of ‘gold-standard’ treatments, it is and P2X receptor families (Burnstock, 2000).",vrai_verrou_rd,raw,to_detect_by_nlp,British J Pharmacology - 2009 - Ford - Purinoceptors as therapeutic targets for lower urinary tract dysfunction.pdf,,good,from role_gold=verrou | sub_role= | status=to_review,ac412869979c1f40,projet_3_,verrou,,"Moreover, despite many years of muscarinic antagonist use, little compelling evidence has surfaced that the patho- Purinergic regulation of lower urinary tract physiology of LUTS relates to dysregulation of cholinergic control of urinary storage and voiding. function Selective a -adrenoceptor antagonists, tamsulosin in parti- 1 cular due to its lower cardiovascular side effects (Milani & Purinergic transmission has increasingly been recognized as Djavan, 2005; Muzzonigro, 2005), are the preferred first line of playing a role in lower urinary tract function, regulating therapy for patients with BPH/LUTS (Speakman et al., 2004). both afferent and efferent signaling pathways controlling However","Currently, eight clear that alternative, novel therapeutic approaches are needed metabotropic P2Y receptors (Abbracchio et al., 2003), and that more effectively target LUTS (Fernandes & Cocoros, seven P2X (P2X ) receptor subunits for ionotropic ATP 1(cid:2)7 Schematic diagram ofthe neuralcircuitscontrolling continence andmicturition.",HIGH,vrai_verrou_rd,
Le premier verrou que nous avons identifié est de résoudre la problématique de l’amortissement du device médical tout en ayant un positionnement mécanique.,vrai_verrou_rd,raw,to_detect_by_nlp,CIR 2024 emballage suspension.docx,,good,from role_gold=verrou | sub_role= | status=to_review,e4a539d125d2a297,projet_9_,verrou,,,L’ergonomie doit être pris en compte pour garantir une bonne manipulation pendant l’opération chirurgicale et donc ne pas avoir de risque patient .,HIGH,vrai_verrou_rd,
Nous avons rencontré un deuxième verrou lié a un besoin de 3requis simultané pour l’emballage d’un device medical fragile tel qu’ un pacemaker ou agressif comme l’état de surface de la tête de rotule de la hanche : Amortissement des chocs Resistance a l’abrasion (dû aux vibrations pendant le transport) Être recyclable : tous les matériaux employés doivent peuvent être recyclé indépendamment,vrai_verrou_rd,raw,to_detect_by_nlp,CIR 2024 emballage suspension.docx,,good,from role_gold=verrou | sub_role= | status=to_review,e71fc86946ede3a5,projet_9_,verrou,,L’ergonomie doit être pris en compte pour garantir une bonne manipulation pendant l’opération chirurgicale et donc ne pas avoir de risque patient .,,HIGH,vrai_verrou_rd,
"Chez certains maraichers partenaires de l’essai, les plantes ont souffert de soif et d’un manque de fertilisation.",vrai_verrou_rd,raw,to_detect_by_nlp,CR intermédiaire MAPUCE synthèse.pdf,,good,from role_gold=verrou | sub_role= | status=to_review,f6fe2247d0927858,projet_4_,verrou,,Le semis a eu lieu dans des gros pots qui ont été posés dans les cultures.,Cette pratique a été abandonnée en 2024 pour laisser place à l’implantation de 6 espèces de plantes de service sous tunnel au pied des bâches.,HIGH,vrai_verrou_rd,
"As previously mentioned, term similar to the one introduced for the stability certificate. the dynamics of the systems are not known by the DRL - 1481 - Authorized licensed use limited to: ONERA.",vrai_verrou_rd,raw,to_detect_by_nlp,Cocaul et al 2024a.pdf,,good,from role_gold=verrou | sub_role= | status=to_review,e385ff6db73e5b30,projet_12_,verrou,,Constraints conditions is to add in the objective function (loss function) a are considered in both examples.,"Downloaded on October 25,2024 at 08:08:46 UTC from IEEE Xplore.",HIGH,vrai_verrou_rd,
"Following the implementation of Algorithm 1, the con- straint on the total energy of the system is taken into account - 1483 - Authorized licensed use limited to: ONERA.",vrai_verrou_rd,raw,to_detect_by_nlp,Cocaul et al 2024a.pdf,,good,from role_gold=verrou | sub_role= | status=to_review,7ec0ac477ba38ee8,projet_12_,verrou,,"4: Cartpole system under the controller learned with certificate of stability, but not of constraint satisfaction.","Downloaded on October 25,2024 at 08:08:46 UTC from IEEE Xplore.",HIGH,vrai_verrou_rd,
The constraint is represented - 1482 - Authorized licensed use limited to: ONERA.,vrai_verrou_rd,raw,to_detect_by_nlp,Cocaul et al 2024a.pdf,,good,from role_gold=verrou | sub_role= | status=to_review,c382f018f2ab5ff3,projet_12_,verrou,,"As can be noticed, the state of the system enters the unsafe state, since overshoots of the second state component x over 2 values of ±10 can be noticed.","Downloaded on October 25,2024 at 08:08:46 UTC from IEEE Xplore.",HIGH,vrai_verrou_rd,
"The energy being close to zero after 8s, its plots are limited to this time range.",vrai_verrou_rd,raw,to_detect_by_nlp,Cocaul et al 2024a.pdf,,good,from role_gold=verrou | sub_role= | status=to_review,003798b363cee1b5,projet_12_,verrou,,"The time variation of the total energy of the cartpole, along the considered trajectories, is also plotted.",The red line in Figures 4 (e) and 5 (e) represents the limit Emax considered for the constraint.,HIGH,vrai_verrou_rd,
"These two terms will be = point of the system (1) if f(0,0) 0 and: referred to as Lyapunov risk and Barrier risk respectively. ∀ε ∈ R+ ,∃ δ ∈ R+ s.t.||x(0)|| ≤ δ =⇒ ∀t ≥ 0,||x(t)|| ≤ ε Their evaluation during the learning process rely only on - 1480 - Authorized licensed use limited to: ONERA.",vrai_verrou_rd,raw,to_detect_by_nlp,Cocaul et al 2024a.pdf,,good,from role_gold=verrou | sub_role= | status=to_review,273e6a1f6e14db42,projet_12_,verrou,,Verification of conditions related and state constraint handling. to the CLF and the CBF are introduced as two additional Definition 1 (Stability): The origin is a stable equilibrium terms in the loss to be minimized.,"Downloaded on October 25,2024 at 08:08:46 UTC from IEEE Xplore.",HIGH,vrai_verrou_rd,
"5 Indiquer les incertitudes scientifiques et techniques, les verrous technologiques et les problèmes à résoudre Ce projet contient plusieurs défis scientifiques incertains à résoudre qui sont : 1- Le Grattage WEB Pour collecter les avis des gens des réseaux sociaux d’une manière automatique, nous devons utiliser le grattage Web, également connu sous le nom d’extraction Web ou de récolte du Web.",vrai_verrou_rd,raw,to_detect_by_nlp,DOSSIER JEI.pdf,verrou_technique,good,from role_gold=verrou | sub_role=verrou_technique | status=auto_corrected,5c85b1524c83c3dd,projet_10_,verrou,verrou_technique,"Enfin, une étude comparative sur les résultats obtenus est nécessaire pour choisir le modèle optimal. ● Évaluation : Après avoir construit un modèle final performant, il est indispensable d’évaluer encore une fois ce modèle c’est-à-dire vérifier toutes les étapes réalisées pour la construction du modèle et vérifier la correspondance du résultat obtenu avec les objectifs fixés lors de la phase de compréhension du problème métier. ● Déploiement : Cette dernière phase consiste à exploiter le résultat final pour mettre en place un produit final prêt à l’utilisation.",C’est une technique permettant d’extraire des données du World Wide Web (WWW) et de les sauvegarder dans un système de fichiers ou une base de données pour les récupérer ou les analyser ultérieurement.,LOW,vrai_verrou_rd,
Il s’agit aussi d’un défis technique difficile et incertains vu qu’on a des données de différentes sources dont on ne connais en avance leurs natures et types.,vrai_verrou_rd,raw,to_detect_by_nlp,DOSSIER JEI.pdf,verrou_technique,good,from role_gold=verrou | sub_role=complexite_ou_manque_maitrise | status=auto_corrected,87c0da58dead1b3f,projet_10_,verrou,complexite_ou_manque_maitrise,"2- Nettoyer et transformer les données : Une fois, les données sont collectées depuis le Web, nous devons nettoyer et transformer ces données à fin qu’elles soient utilisables lors de l’analyse.","3- La compréhension de langage naturel par l’IA Après avoir récupérer, nettoyer et transformer les données qui sont généralement des textes plus au moins long contenant les réactions du public.",LOW,vrai_verrou_rd,
Limites d’AnthenaTest : Manque de connaissances d'assertion et Manque de consistance de noms et de vérification de signature de test.,vrai_verrou_rd,raw,to_detect_by_nlp,DT AI-CODE 2024.docx,verrou_technique,good,from role_gold=verrou | sub_role=manque_referentiel_ou_protocole | status=auto_corrected,8f30632149195a40,projet_11_,verrou,manque_referentiel_ou_protocole,,A3Test : Une approche pour générer des cas de tests unitaires basée sur de DL augmenté par « Assertion Knowlegde » avec un mécanisme pour vérifier la consistance des noms et la signature de tests.,LOW,vrai_verrou_rd,
"Par ailleurs, les utilisateurs disposent de peu de critères permettant d’identifier leurs limites et performances.",vrai_verrou_rd,raw,to_detect_by_nlp,DT AI-CODE 2024.docx,,good,from role_gold=verrou | sub_role= | status=to_review,59203b42b062816c,projet_11_,verrou,,"En particulier, il devient d’autant plus nécessaire de valider et vérifier la qualité des programmes générés et leurs pertinences par rapport aux besoins.",Deux approches existent pour améliorer la qualité du code produit : les tests et la validation formelle.,HIGH,vrai_verrou_rd,
Parmi les stratégies nous avons : Analyser le projet pour extraire des informations essentielles et en créant un contexte focale adaptative lequel inclus une méthode focale et ses dépendances dans la limite de token maximum du LLM et en incorporant ce contexte dans le prompt pour interroger le LLM.,vrai_verrou_rd,raw,to_detect_by_nlp,DT AI-CODE 2024.docx,,good,from role_gold=verrou | sub_role= | status=to_review,245faac1ba65fa12,projet_11_,verrou,,Concevoir des prompts efficaces pour la génération de cas de tests unitaires : les études plus récentes se focalisent sur les stratégies de conception du prompt pour faire mieux comprendre le contexte et les nuances de la tâche au modèle LLM.,Approche pour augmenter l’efficacité des tests unitaires générés pour révéler des bogues en tirant parti des tests de mutation.,HIGH,vrai_verrou_rd,
"Verrou 1 : Concevoir un pipeline de génération de tests basé sur les LLM, qui arrive à générer un ensemble de test plus pertinent pour un environnement de travail (ici Java, JUnit et Mockito) que ce que produit un LLM Générique.",vrai_verrou_rd,raw,to_detect_by_nlp,DT AI-CODE 2024.docx,limite_incertitude,good,from role_gold=limite | sub_role=incertitude_ou_validation_insuffisante | status=auto_corrected,8c713063e60d321a,projet_11_,limite,incertitude_ou_validation_insuffisante,,"Autre formulation : Comparaison des stratégies (par exemple prompt engineering, Utilisation de sortie de plusieurs LLMs, …) d’utilisation des LLM pour la qualité de génération des tests dans un environnement de travail spécifique (ici Java, JUnit et Mockito) par rapport à l’utilisation d’un Zero Shot approach.",LOW,vrai_verrou_rd,
Afin de tester les limites on peut également comparer les performances d’un même réseau de neurones en changeant le modèle de parachute durant la phase de test.,vrai_verrou_rd,raw,to_detect_by_nlp,DT_AI-GUIDANCE_2024-FR-v1.docx,,good,from role_gold=verrou | sub_role= | status=to_review,762f4616f9fed0ec,projet_12_,verrou,,Fournir et analyser les résultats obtenus.,Nous allons changer le taux de rotation du parachute en le multipliant par 3 pour un cas et en le divisant par 2.,HIGH,vrai_verrou_rd,
"Ainsi, pour un même projet d’entreprise, il peut y avoir plusieurs projets de R&D correspondant à autant de difficultés non résolues par l’état des connaissances et pour lesquelles la société a été dans l’obligation de trouver elle-même la solution.",vrai_verrou_rd,raw,to_detect_by_nlp,DT_AI-GUIDANCE_2024-FR-v1.docx,,good,from role_gold=verrou | sub_role= | status=to_review,fad0005c415151d4,projet_12_,verrou,,"Pour rappel, la partie éligible au CIR d’un projet d’entreprise correspond à la levée d’une difficulté scientifique ou technique rencontrée lors de sa réalisation, et pour laquelle aucune solution n’existe.",,HIGH,vrai_verrou_rd,
Bien que cela ne lève pas complètement ce verrou cela constitue un pas dans la bonne direction.,vrai_verrou_rd,raw,to_detect_by_nlp,DT_AI-GUIDANCE_2024-FR-v1.docx,,good,from role_gold=verrou | sub_role= | status=to_review,8dc33afbdd21bca9,projet_12_,verrou,,Ceci constitue une réduction du Reality Gap (verrou 1.3.2) et permet ainsi d’entrainer une IA dans un environnement plus réaliste.,L’approche probabiliste de notre réseau de neurones nous pousse à mettre en place une approche statistique afin d’évaluer la qualité et la précision du réseau de neurone.,HIGH,vrai_verrou_rd,
Ceci constitue une réduction du Reality Gap (verrou 1.3.2) et permet ainsi d’entrainer une IA dans un environnement plus réaliste.,vrai_verrou_rd,raw,to_detect_by_nlp,DT_AI-GUIDANCE_2024-FR-v1.docx,verrou_technique,good,from role_gold=verrou | sub_role=complexite_ou_manque_maitrise | status=auto_corrected,cc9d389058931819,projet_12_,verrou,complexite_ou_manque_maitrise,Nous avons introduit une contrainte physique sur l’évolution de la poussée ou de la commande du parachute durant la phase d’entrainement de l’algorithme.,Bien que cela ne lève pas complètement ce verrou cela constitue un pas dans la bonne direction.,LOW,vrai_verrou_rd,
Ceci rentre directement dans le cadre du verrou 1.3.3 traitement la reproductibilité.,vrai_verrou_rd,raw,to_detect_by_nlp,DT_AI-GUIDANCE_2024-FR-v1.docx,,good,from role_gold=verrou | sub_role= | status=to_review,3a54d14ccb68a6cb,projet_12_,verrou,,L’approche probabiliste de notre réseau de neurones nous pousse à mettre en place une approche statistique afin d’évaluer la qualité et la précision du réseau de neurone.,,HIGH,vrai_verrou_rd,
"Cela pose une difficulté lors de l’apprentissage, car, comme illustré sur la , pour des valeurs de x > 6 par exemple, la variation de la récompense est très faible.",vrai_verrou_rd,raw,to_detect_by_nlp,DT_AI-GUIDANCE_2024-FR-v1.docx,,good,from role_gold=verrou | sub_role= | status=to_review,61ebadcca410efe6,projet_12_,verrou,,"Le problème de cette formule réside dans la position initiale de la fusée, qui se trouve relativement éloignée du checkpoint.","En conséquence, lors de l’optimisation des poids du réseau de neurones, une variation importante du paramètre x est nécessaire pour induire une différence notable dans la récompense correspondante, ce qui ralentit l’apprentissage et complique la convergence du modèle.",HIGH,vrai_verrou_rd,
Ces aspects-là constitue un verrou technologique quant à l’utilisation de l’IA pour réaliser des tâches de guidage.,vrai_verrou_rd,raw,to_detect_by_nlp,DT_AI-GUIDANCE_2024-FR-v1.docx,,good,from role_gold=verrou | sub_role= | status=to_review,9a039a7f3a24db88,projet_12_,verrou,,On pourrait imaginer que durant un essai dans le monde réel une décision peu probable soit prise et provoque alors un comportement non souhaité pour le véhicule.,,HIGH,vrai_verrou_rd,
Cette problématique n’a pas été observée durant les travaux de R&D 2023 mais il n’y avait pas encore de contrainte sur l’évolution de la poussée.,vrai_verrou_rd,raw,to_detect_by_nlp,DT_AI-GUIDANCE_2024-FR-v1.docx,limite_incertitude,good,from role_gold=limite | sub_role=incertitude_ou_validation_insuffisante | status=auto_corrected,312cc6c7145e0d4f,projet_12_,limite,incertitude_ou_validation_insuffisante,"Le problème de cette formule est qu’initialement la fusée se situe relativement loin du checkpoint, cela posait problème lors de l’apprentissage car comme on peut le voir sur la pour des valeurs de x > 6 par exemple il y a peu de variation de la variation de récompense, ainsi lors de l’optimisation des poids du réseau de neurones il faut une grande variation du paramètre x pour qu’une différence notable soit remarquée sur la récompense correspondante.",L’ajout de cette contrainte physique nous pousse donc à raffiner les fonctions de récompenses.,LOW,vrai_verrou_rd,
"Des contraintes fonctionnelles, matérielles, mais aussi de règles à respecter, d’outils à utiliser, de dimensionnement technique, etc., sont de nature à générer des difficultés ou à influer sur les spécifications techniques et les choix technologiques.",vrai_verrou_rd,raw,to_detect_by_nlp,DT_AI-GUIDANCE_2024-FR-v1.docx,,good,from role_gold=verrou | sub_role= | status=to_review,c02b9c7e20b89931,projet_12_,verrou,,Un problème peut surgir à différents stades d’un cycle de développement.,Les sous-chapitres suivants sont indicatifs et non obligatoires.,HIGH,vrai_verrou_rd,
